LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
493;252230060;NAREWKA;Narewka (2612);52 52 18;23 43 41;143
494;252230080;NOWE MASIEWO;Narew (26);52 50 02;23 53 50;150
495;252230090;CHRABOŁY;Orlanka (2614);52 51 44;23 11 44;127
496;252230110;HAJNÓWKA;Leśna (26652);52 43 57;23 33 37;163.0
497;252230120;BIAŁOWIEŻA;Narewka (2612);52 42 26;23 50 52;163.0
498;252230190;CICIBÓR;Krzna (2664);52 04 37;23 06 34;144.0
499;252230230;NAREW;Narew (26);52 55 00;23 31 22;134.0
500;252230240;NAREWKA;Narewka (2612);52 51 49;23 43 30;143.0
501;252230250;ZAMOSZE;Narewka (2612);52 48 55;23 54 46;157.0
502;252230280;Jagodniki;Orlanka (2614);52 41 50;23 29 21;156.0
503;252230290;Bolesty;Nurzec (267146);52 44 12;23 05 27;156.0
504;253140010;Wolin;Cieśnina Dziwna (35);53 50 15;14 36 57;2.0
505;253140040;Trzebież;Zalew Szczeciński (319);53 39 47;14 30 50;1
506;253140060;Goleniów;Ina (198);53 35 38;14 53 18;34
507;253140110;Gryfino;Odra (Regalica) (19751);53 15 25;14 29 04;3.0
508;253150020;Witno;Cieśnina Dziwna (35);53 56 40;15 03 47;20.0
509;253150070;Łabędzie;Rega (42);53 39 02;15 48 33;100
510;253150130;Lisowo;Krąpiel (1988);53 25 51;15 18 05;95
511;253150190;PRZELEWICE;Płonia (1976);53 06 15;15 04 56;65.0
512;253150250;Drawno;Drawa (1888);53 12 47;15 46 12;76.0
513;253150290;Łopianów;Rega (42);53 52 32;15 15 41;32.0
514;253150310;Niedźwiedziska;Cieśnina Dziwna (35);53 56 58;15 04 41;20.0
515;253150330;Słonowice;Rega (42);53 43 01;15 43 05;105.0
516;253150340;Międzyrzecze;Rega (42);53 52 19;15 34 06;59.0
517;253150360;Kinowo;Rega (42);53 58 30;15 27 05;32.0
518;253160010;Sępolno Wielkie;Biała (188624);53 56 51;16 46 25;165
519;253160020;Osówko;Parsęta (44);53 54 20;16 04 05;55
520;253160040;Grzmiąca;Parsęta (44);53 50 09;16 26 21;100.0
521;253160090;WIERZCHOWO;Drawa (1888);53 27 36;16 06 16;137.0
522;253160110;Jastrowie;Gwda (1886);53 25 32;16 48 50;111
523;253160260;Wicewo;Parsęta (44);53 53 15;16 07 25;47.0
524;253170030;RÓŻKI-DĘBIE;Brda (292);53 53 28;17 08 53;155.0
525;253170060;Zapędowo;Brda (292);53 42 15;17 50 25;125
526;253170160;Sypniewo;Łobżonka (1884);53 21 52;17 19 49;128.0
527;253170210;Chrząstowo;Noteć (188);53 09 40;17 35 01;105.0
528;253170320;Lipa;Noteć (188);53 03 02;17 15 27;62.0
529;253170330;Sitowiec;Krówka (29276);53 22 08;17 45 15;134.0
530;253170340;Iwno;Dopływ z Łankowic (188528);53 01 36;17 25 05;111.0
531;253170350;Czyczkowy;Wda (294);53 51 39;17 44 00;137.0
532;253170360;Pruszcz;Brda (292);53 26 47;17 49 32;124.0
533;253170370;Upiłka;Wda (294);53 56 49;17 56 49;141.0
534;253180020;RADOSTOWO;Wisła (2);53 59 22;18 44 50;40.0
535;253180040;Starogard Gdański;Wierzyca (298);53 58 56;18 32 56;85.0
536;253180060;Czarna Woda;Wda (294);53 50 26;18 05 34;125.0
537;253180090;Śliwice;Wda (294);53 42 17;18 10 33;119.0
538;253180150;Grudziądz;Wisła (2);53 26 15;18 42 34;25.0
539;253180160;Radzyń-Fijewo;Radzyńska Struga (296692);53 22 58;18 56 49;104.0
540;253180170;Nowy Jasiniec;Brda (292);53 20 54;18 02 14;90.0
541;253180220;Bydgoszcz;Brda (292);53 10 25;18 02 45;55
542;253180260;Lubiewo;Brda (292);53 27 50;18 01 30;116.0
543;253180270;Skórcz-Ryzowie;Wierzyca (298);53 47 18;18 32 13;85.0
544;253190030;Dobrocin;Drwęca (28);53 54 30;19 49 41;118.0
